"rownames(plant_vir)","aa","ac","ag","at","ca","cc","cg","ct","ga","gc","gg","gt","ta","tc","tg","tt"
"818428.1",556,354,478,476,432,223,250,305,518,275,323,425,359,358,489,573
"818427.1",558,348,474,480,433,230,249,304,509,280,327,424,361,358,489,570
"818426.1",565,349,474,475,428,224,251,311,512,281,325,422,359,360,489,570
"818425.1",560,350,474,477,431,229,261,299,512,279,326,423,359,362,478,574
"818424.1",563,344,474,480,428,224,257,300,515,285,328,425,356,356,493,567
"818423.1",561,346,474,479,426,223,257,302,515,283,329,426,359,356,492,567
"818422.1",563,346,473,482,429,226,252,307,516,280,327,419,357,362,489,566
"818421.1",563,344,473,482,429,226,251,307,515,281,329,418,356,362,489,567
"818420.1",560,348,475,482,435,230,254,299,515,277,327,421,356,363,483,569
"818419.1",555,349,482,476,428,233,261,303,519,278,322,425,361,365,478,560
"818418.1",559,363,482,464,429,225,252,314,524,271,316,420,357,361,480,576
"818415.1",561,343,478,478,424,226,253,303,513,283,324,425,363,354,489,577
"818414.1",560,351,477,474,433,228,250,305,514,280,326,424,356,357,490,570
"818413.1",558,350,478,474,432,228,250,304,514,279,327,426,357,357,490,571
"818412.1",560,351,477,477,433,228,254,298,515,276,328,425,358,358,484,571
"818411.1",557,346,475,479,427,226,257,302,515,277,329,426,359,363,485,571
"818410.1",563,349,474,476,427,223,251,311,513,282,325,421,360,358,490,572
"878069.1",597,360,454,486,430,202,251,343,484,284,324,413,387,380,475,521
"985165.1",629,353,449,472,401,208,242,335,463,257,313,444,411,368,472,565
"563124.1",480,460,268,376,621,722,221,633,284,314,181,210,200,701,318,527
"563123.1",490,462,259,377,629,714,216,640,278,314,188,208,192,709,324,516
"10376.1",1130,466,701,642,616,379,201,457,680,293,317,272,513,515,342,491
"877473.1",192,144,186,228,179,142,85,153,210,121,186,173,168,152,233,228
"20021.1",123,147,178,135,169,202,147,200,181,189,225,161,111,180,206,195
"A575560.1",206,103,168,217,135,161,136,145,204,146,172,206,148,167,252,233
"A260204.1",119,33,32,49,24,43,33,32,44,34,50,35,45,22,48,37
"A260203.1",75,38,31,45,30,35,43,40,38,45,58,54,45,30,63,44
"A109896.1",776,478,368,492,613,313,96,441,396,310,210,252,330,362,493,537
"13463.1",315,252,262,232,278,201,180,216,254,192,275,233,214,231,236,231
"68110.1",565,355,472,474,434,233,258,304,517,281,325,415,351,360,482,568
"A606361.1",752,483,366,492,615,311,95,443,397,308,208,252,330,362,495,538
"A606360.1",747,475,385,485,614,317,98,441,401,316,205,252,331,362,485,534
"A606359.1",745,481,384,486,614,319,100,436,405,312,206,251,333,357,483,537
"A312439.1",971,540,796,738,830,276,167,449,783,456,529,533,460,450,809,800
"A312438.1",1032,612,823,766,877,274,215,476,864,468,570,543,459,489,837,756
"A312437.1",1058,603,810,778,887,273,203,455,847,469,549,534,456,474,837,758
"A271595.1",308,399,312,285,530,655,410,508,326,461,275,253,140,588,317,331
"A557454.1",180,144,123,223,136,125,147,161,182,120,148,175,171,180,207,206
"A557453.1",184,137,145,199,134,142,128,159,185,117,163,182,161,167,211,241
"A557452.1",174,142,146,199,136,140,123,160,187,108,164,185,163,169,211,244
"A557451.1",182,127,167,186,160,160,118,178,159,144,181,175,160,185,193,199
"A557450.1",187,121,151,212,157,159,108,177,180,127,147,164,146,194,212,216
"G937524.1",235,133,165,224,162,145,79,168,191,118,167,168,168,158,233,243
"C_038886.1",205,107,131,228,115,95,117,144,140,133,152,192,210,136,217,315
"C_038885.1",179,135,155,210,157,134,140,153,175,154,149,182,167,161,216,272
"C_025964.1",197,131,169,233,164,152,84,161,192,120,163,178,176,158,237,235
"C_016649.1",214,131,153,206,135,152,106,184,179,116,143,184,175,178,220,273
"C_003399.1",950,654,718,745,809,284,322,382,746,443,464,493,561,416,643,693
"C_003398.1",1073,693,685,796,883,312,316,429,720,463,430,458,570,473,640,654
"871569.1",235,127,159,229,150,142,76,171,185,115,170,171,179,155,236,249
"A999982.1",205,107,131,228,115,95,117,144,140,133,152,192,210,136,217,315
"A999981.1",179,135,155,210,157,134,140,153,175,154,149,182,167,161,216,272
"624217.1",872,632,712,704,861,294,376,373,765,549,521,503,421,430,729,638
"028570.1",197,131,169,233,164,152,84,161,192,120,163,178,176,158,237,235
"979796.1",205,108,170,287,178,120,74,129,157,125,150,189,229,148,227,227
"979795.1",205,108,171,286,178,120,74,129,158,125,150,189,228,148,227,227
"979794.1",211,106,174,283,174,112,78,126,163,125,144,199,225,147,235,222
"979793.1",210,107,176,281,174,111,78,126,164,124,145,199,225,147,233,224
"979792.1",207,108,170,286,178,121,74,129,157,124,150,189,228,149,226,227
"979791.1",207,108,170,286,178,121,74,129,157,124,150,189,228,149,226,227
"979790.1",208,106,177,283,177,111,80,123,161,120,147,202,227,154,226,222
"979789.1",205,109,171,285,178,120,74,130,158,124,149,189,228,149,226,228
"979788.1",205,107,171,287,178,120,74,128,158,124,150,189,228,149,226,229
"979787.1",205,108,171,286,178,120,74,129,158,124,150,190,228,149,227,226
"979786.1",207,108,170,286,178,121,74,129,157,122,150,189,228,151,224,229
"979785.1",209,107,172,288,175,103,72,130,167,122,147,181,224,148,226,253
"979784.1",209,107,172,288,175,103,71,131,168,121,146,181,223,149,227,253
"979783.1",209,107,172,288,174,101,71,132,167,121,147,181,225,149,226,254
"979782.1",209,107,173,287,174,102,71,132,167,121,147,182,225,149,226,252
"979781.1",212,106,171,284,171,105,72,135,166,122,142,184,223,150,229,251
"979780.1",240,109,159,269,118,94,138,101,206,107,199,241,212,141,257,181
"979779.1",239,107,156,272,117,94,138,99,205,103,197,237,212,144,251,183
"979778.1",233,108,167,266,117,95,137,100,206,104,200,242,217,142,248,192
"979777.1",237,109,161,268,116,94,142,99,203,105,200,243,218,143,248,186
"979776.1",237,109,160,269,116,94,142,99,203,106,201,241,218,142,248,187
"979775.1",216,118,158,240,146,148,118,135,211,129,196,190,158,152,254,230
"979774.1",216,118,158,240,145,148,117,136,211,128,196,190,159,152,254,231
"979773.1",213,122,161,234,147,153,122,133,213,131,200,188,156,149,249,227
"979772.1",219,122,155,240,145,146,125,132,216,128,198,188,155,152,252,225
"979771.1",215,123,158,235,144,151,122,136,216,129,200,186,155,150,251,227
"979770.1",219,122,159,240,148,153,122,129,219,126,202,185,153,151,249,221
"979769.1",221,122,155,239,145,147,124,133,217,128,198,187,153,152,253,224
"979768.1",196,141,190,225,173,144,85,154,211,124,185,172,171,147,232,230
"979767.1",196,141,189,225,176,145,85,153,209,125,186,173,169,148,233,227
"979766.1",193,143,190,222,179,146,83,154,212,119,184,174,163,154,232,231
"979765.1",197,140,190,225,175,145,84,154,210,125,185,172,169,148,233,228
"979764.1",197,140,190,225,175,144,84,154,210,125,185,172,169,148,233,229
"979763.1",198,140,190,226,175,144,85,152,211,125,185,171,169,147,232,230
"979762.1",197,140,190,226,175,144,85,152,212,125,185,171,168,147,233,230
"979761.1",190,141,190,226,180,143,84,156,208,126,180,173,168,153,233,229
"979760.1",193,143,191,222,178,145,83,154,214,118,184,174,163,154,232,231
"979759.1",196,140,189,225,175,143,81,155,210,119,188,175,168,152,234,230
"979758.1",199,141,193,220,175,143,83,153,211,118,192,177,167,152,230,226
"955607.1",257,145,130,247,146,107,100,151,166,107,131,157,209,145,200,277
"580234.1",204,127,172,235,166,152,81,159,193,120,157,171,174,159,231,252
"772081.1",214,131,153,206,135,152,106,184,179,116,143,184,175,178,220,273
"580235.1",204,127,172,235,166,152,81,159,193,120,157,171,174,159,231,252
"578897.1",219,130,154,212,130,149,99,195,194,113,142,173,171,181,227,262
"04375.1",406,371,233,320,523,728,218,690,263,290,191,229,138,771,330,509
"04373.1",368,557,245,291,636,879,359,551,329,332,213,187,128,658,243,342
"77962.1",616,585,386,336,624,559,281,428,409,395,336,194,275,353,330,257
"A252189.2",475,321,407,425,302,250,315,462,435,321,332,456,417,437,489,668
"A316084.1",950,654,718,745,809,284,322,382,746,443,464,493,561,416,643,693
"A297628.1",1073,693,685,796,883,312,316,429,720,463,430,458,570,473,640,654
"C_030663.1",218,68,104,155,102,32,6,89,96,58,47,72,128,71,116,128
"C_030662.1",263,118,148,259,162,59,11,100,140,57,64,143,222,98,181,203
"C_030661.1",154,66,88,135,97,36,8,97,85,52,36,66,106,84,107,117
"C_030660.1",946,392,447,923,511,166,32,338,468,154,170,297,782,335,440,607
"912245.3",154,66,88,135,97,36,8,97,85,52,36,66,106,84,107,117
"912244.1",263,118,148,259,162,59,11,100,140,57,64,143,222,98,181,203
"912243.1",946,392,447,923,511,166,32,338,468,154,170,297,782,335,440,607
"912246.1",218,68,104,155,102,32,6,89,96,58,47,72,128,71,116,128
"C_007913.1",942,609,749,752,857,297,280,383,777,489,535,513,475,422,751,712
"A219545.1",942,609,749,752,857,297,280,383,777,489,535,513,475,422,751,712
"00542.1",13,16,21,23,17,20,19,27,26,23,35,26,17,25,34,26
"C_016159.1",977,565,710,701,738,313,321,470,795,492,549,509,443,472,765,805
"838187.1",977,565,710,701,738,313,321,470,795,492,549,509,443,472,765,805
"C604020.1",957,689,643,764,877,280,363,467,723,500,457,476,495,518,693,634
"C604019.1",985,657,719,796,842,264,357,398,846,487,535,471,483,453,728,676
"C_016033.1",256,218,322,198,270,263,186,286,304,251,269,273,163,273,320,299
"C_012554.2",182,141,137,246,139,131,139,145,189,114,135,151,196,168,178,186
"C_012553.1",197,140,139,220,156,163,136,137,192,123,166,145,152,166,184,192
"C_011560.1",1037,621,703,756,871,372,309,495,711,551,564,506,497,504,756,719
"C_002568.2",253,198,304,204,225,246,175,319,298,271,277,270,183,249,360,315
"C_008028.1",930,569,722,743,775,268,430,413,827,560,488,478,432,489,713,710
"C_005904.1",973,741,653,706,889,320,393,433,731,527,450,447,479,448,659,613
"C_005903.1",982,672,644,730,866,310,387,474,754,522,451,438,425,533,684,667
"C_001748.1",669,440,516,384,587,501,192,396,482,345,419,267,271,391,385,410
"C_001441.1",588,528,415,408,605,438,314,503,447,403,285,301,299,491,421,508
"555602.2",665,328,431,574,393,195,189,351,497,241,335,433,444,364,550,652
"974555.1",1175,541,758,918,754,268,288,444,838,439,474,511,624,506,743,871
"495127.1",256,218,322,198,270,263,186,286,304,251,269,273,163,273,320,299
"640982.1",979,550,784,746,838,263,161,444,786,442,543,524,455,451,807,814
"640981.1",993,545,785,733,836,275,160,435,777,453,536,531,449,434,816,826
"640980.1",977,549,781,745,847,268,156,434,776,451,536,528,451,438,818,829
"640979.1",987,544,779,731,829,272,175,442,777,453,546,533,447,449,809,811
"640978.1",991,552,796,737,839,267,163,448,780,454,522,517,465,444,792,820
"640977.1",989,548,805,733,839,274,159,448,783,454,519,519,463,444,792,818
"640976.1",973,539,785,730,824,275,179,442,782,458,547,530,447,448,806,819
"640975.1",978,545,781,729,828,274,177,441,779,454,547,532,447,447,807,818
"640974.1",977,544,779,728,823,277,178,444,782,455,548,530,445,446,810,818
"640973.1",975,533,795,740,829,278,173,436,781,456,543,536,457,449,805,798
"640972.1",977,541,784,729,829,275,175,444,779,459,547,529,445,448,808,815
"640971.1",968,541,795,739,835,267,154,440,775,452,551,535,464,436,813,819
"640970.1",967,539,787,742,847,269,164,434,775,459,551,528,445,448,811,815
"640969.1",991,545,777,747,841,258,156,447,773,450,546,526,454,449,816,811
"640968.1",977,538,782,734,825,278,175,441,780,458,552,527,448,445,808,816
"640967.1",988,535,779,735,815,280,184,445,775,465,543,523,458,444,800,815
"640966.1",976,541,783,730,827,275,177,440,780,456,550,531,446,447,807,818
"640965.1",983,547,788,742,839,264,155,454,779,450,535,524,458,451,810,808
"640964.1",979,540,793,750,844,268,147,448,780,450,537,524,458,449,814,806
"640963.1",988,543,779,739,826,276,179,445,775,462,540,521,459,445,800,810
"640962.1",967,538,789,742,833,270,162,448,779,461,546,522,456,444,811,816
"640961.1",967,542,793,746,841,266,156,451,787,449,542,527,452,457,814,797
"640960.1",981,544,794,735,842,258,158,456,779,457,536,527,451,455,811,803
"640959.1",976,539,784,732,827,274,177,441,780,457,548,531,447,449,807,815
"640958.1",978,548,791,741,845,259,156,452,780,455,537,521,454,450,809,811
"640957.1",969,544,788,746,844,269,162,440,782,459,543,515,451,444,806,822
"640956.1",990,529,802,749,832,272,167,442,786,461,527,525,461,451,803,790
"640955.1",982,534,784,734,821,286,172,438,780,452,550,527,450,445,803,826
"640954.1",984,555,782,737,848,271,161,439,775,452,543,522,450,442,806,817
"A057533.1",915,644,692,719,860,266,381,384,773,540,504,479,421,442,719,644
"548849.1",987,536,783,742,831,272,172,440,772,460,549,525,457,447,802,809
"A626825.4",1037,621,703,756,871,372,309,495,711,551,564,506,497,504,756,719
"A623627.1",973,741,653,706,889,320,393,433,731,527,450,447,479,448,659,613
"A623626.1",982,672,644,730,866,310,387,474,754,522,451,438,425,533,684,667
"299908.1",930,569,722,743,775,268,430,413,827,560,488,478,432,489,713,710
"10038.1",13,16,21,23,17,20,19,27,26,23,35,26,17,25,34,26
"13747.1",588,528,415,408,605,438,314,503,447,403,285,301,299,491,421,508
"13957.1",669,440,516,384,587,501,192,396,482,345,419,267,271,391,385,410
"C632935.1",1223,513,690,604,624,380,230,434,672,296,299,279,511,479,326,459
"T712111.1",1016,524,757,783,812,248,221,452,766,515,552,519,485,446,822,816
"052522.1",793,493,678,545,601,262,182,402,670,322,445,339,445,370,471,505
"052521.1",804,493,677,543,608,258,182,405,668,321,438,339,437,381,469,496
"052520.1",792,495,682,533,593,264,180,404,673,322,451,339,444,360,472,509
"T989352.1",435,269,428,496,279,249,278,416,464,298,397,489,451,406,544,673
"C603132.1",943,533,764,785,829,310,288,443,767,525,497,503,485,502,743,744
"C571586.1",596,379,435,446,411,221,271,344,483,279,325,430,367,368,485,554
"C573288.1",1012,624,660,865,831,263,316,319,785,452,468,535,532,390,796,794
"C573287.1",1045,640,669,857,818,266,302,337,786,418,443,518,561,399,751,823
"T833930.1",492,465,299,401,480,542,271,519,336,388,252,242,350,417,395,376
"684348.1",639,458,639,542,558,321,414,488,615,626,555,553,467,376,740,565
"C591947.1",271,270,264,235,306,277,175,241,268,222,281,236,195,231,286,250
"C591946.1",964,546,786,730,835,290,172,449,783,459,549,520,443,452,804,800
"T038420.1",640,476,480,376,609,416,151,466,452,356,338,220,272,393,397,354
"282423.1",1091,676,640,792,824,286,330,452,746,428,419,453,538,502,657,728
"440140.2",863,532,633,747,762,342,449,533,723,616,507,498,427,597,755,789
"C504571.1",971,711,812,637,860,359,407,489,813,549,494,515,486,497,658,573
"C504570.1",985,699,792,652,856,377,417,470,809,554,491,517,477,491,671,573
"395046.1",742,474,387,488,611,319,94,438,404,311,205,255,335,358,488,535
"C500882.1",1318,545,803,761,789,274,153,449,797,410,482,528,523,436,779,816
"505964.1",1042,574,673,801,793,323,274,491,711,513,562,501,543,472,778,775
"070541.1",1006,529,673,859,808,228,254,430,751,443,446,546,501,520,813,851
"124612.1",999,559,687,770,761,278,344,441,779,500,477,473,475,488,721,799
"C433737.1",1352,701,705,923,877,241,287,448,880,420,443,483,571,492,791,788
"885652.1",335,332,310,240,386,308,178,245,299,241,282,231,197,237,282,220
"128145.1",595,356,463,472,403,230,239,344,473,260,321,439,416,369,470,532
"823356.1",921,712,636,777,827,341,419,480,789,477,472,474,508,537,686,735
"823355.1",901,692,644,779,805,339,436,483,807,478,471,477,502,554,683,737
"823354.1",913,709,629,788,826,342,417,476,799,466,489,464,501,544,684,744
"T719179.1",1048,655,676,811,858,297,307,425,724,451,440,467,559,485,659,710
"T719178.1",1060,665,655,813,865,313,305,425,730,466,438,441,537,465,677,717
"T719177.1",1058,658,656,812,853,302,295,430,725,440,429,463,547,481,677,692
"T719176.1",1068,670,662,812,855,289,304,438,728,444,427,465,560,484,671,693
"T719175.1",1089,665,648,816,844,288,304,440,717,446,438,462,567,478,673,698
"C_038561.1",926,513,487,710,744,201,224,364,619,417,382,400,346,402,726,746
"C_029076.1",1388,684,701,919,880,234,265,439,859,425,463,491,565,475,809,825
"C_023014.1",1040,624,687,744,781,215,340,424,762,441,440,525,511,481,701,839
"C_018872.2",987,674,654,705,872,360,300,465,747,463,463,460,413,500,717,731
"C_021786.1",925,677,670,754,809,277,404,402,718,504,437,536,573,434,685,693
"C_004060.2",263,217,296,212,235,251,185,309,294,238,268,270,196,273,321,303
"C_020105.1",1040,554,784,818,774,256,207,487,834,435,490,513,548,479,791,785
"C_019412.1",1109,653,674,806,841,218,279,403,777,428,426,467,514,442,720,780
"C_018616.1",1194,455,642,644,599,347,112,453,588,240,303,340,554,469,413,562
"C_002792.2",575,348,477,432,365,207,303,311,524,279,352,436,369,352,458,522
"C_015522.1",213,386,304,208,476,870,577,587,325,554,286,277,98,700,274,287
"C_015552.1",555,431,420,440,407,217,360,345,543,281,394,513,342,400,556,586
"C_015489.1",226,121,97,260,129,79,99,128,163,100,129,183,185,135,250,266
"C_015488.1",181,127,125,224,130,129,114,133,185,112,149,188,160,138,246,269
"C_015393.1",1136,587,793,823,843,270,255,412,796,448,501,551,563,476,747,797
"C_014546.1",682,322,428,580,389,196,186,349,486,239,330,437,456,363,547,652
"C_014327.1",975,588,664,823,818,292,312,449,767,492,479,523,489,500,806,766
"C_012799.1",970,634,724,806,704,273,411,444,786,490,496,661,674,435,802,971
"C_011108.1",300,323,244,219,332,326,252,274,274,272,306,201,180,264,250,180
"C_005975.1",861,729,886,991,982,654,345,806,1017,533,796,577,607,871,896,578
"C_004422.1",538,362,472,402,360,219,290,320,506,265,362,473,371,343,481,538
"C_003854.1",31,35,49,31,37,64,40,44,42,44,54,66,36,43,62,38
"C_003492.1",1040,556,773,748,781,274,210,427,803,432,496,504,492,430,757,808
"C_003224.1",955,569,711,743,775,289,348,456,793,530,488,467,454,480,731,801
"C_002634.1",987,546,781,734,825,277,172,448,782,451,538,530,453,448,810,805
"C_001556.1",639,334,461,498,373,194,190,355,501,259,330,399,420,325,507,569
"C_001886.1",915,644,692,719,860,266,381,384,773,540,504,479,421,442,719,644
"C_001753.1",708,622,534,368,725,686,224,472,489,350,312,209,310,449,289,267
"C_001367.1",558,351,477,475,430,230,260,303,521,287,324,413,353,355,483,574
"684760.1",975,559,710,755,780,287,327,451,773,521,485,479,470,478,736,805
"G758140.1",965,566,643,884,752,264,319,432,745,477,483,526,595,460,786,810
"T736022.1",1070,690,686,797,890,307,307,425,716,458,435,464,566,475,645,662
"378940.1",439,363,368,297,442,368,310,362,401,332,355,291,184,419,346,364
"542264.1",564,378,466,406,381,215,294,303,498,264,362,453,372,336,454,556
"962880.1",1155,608,781,825,883,259,237,407,789,449,500,542,541,471,762,790
"904357.1",1155,458,687,654,611,368,204,475,661,302,306,265,527,530,337,481
"C155796.1",433,544,396,223,587,706,338,478,382,398,346,190,194,462,235,209
"C155795.1",457,532,369,245,616,701,270,496,333,370,295,207,197,481,270,282
"824951.1",592,355,463,473,394,232,244,347,473,263,324,444,425,367,472,530
"824950.1",591,356,464,473,395,231,243,347,473,261,324,445,426,368,471,530
"T899778.1",1159,648,635,826,820,258,331,396,752,424,405,462,536,476,672,743
"A511614.2",908,650,696,707,861,259,380,389,772,536,509,486,419,445,718,645
"A511643.2",906,646,699,710,862,262,381,387,771,546,507,481,421,439,718,647
"A511630.2",911,638,698,718,863,261,384,379,769,542,508,483,421,447,712,649
"A511619.2",918,642,698,715,868,267,375,386,768,546,503,476,418,442,717,644
"A511618.2",916,641,696,720,864,264,376,383,764,544,507,477,428,439,713,651
"A511615.2",908,636,693,721,866,266,380,379,767,546,509,482,416,444,722,648
"156847.1",1056,676,692,738,842,228,327,398,791,449,434,497,472,442,719,759
"352243.1",903,554,518,630,754,218,275,395,631,437,379,402,316,433,678,700
"187047.1",907,684,667,799,822,325,385,469,795,471,480,474,532,521,689,760
"T729506.1",1061,615,726,731,856,365,315,463,716,559,555,518,499,461,752,749
"C107515.1",495,473,457,316,617,606,254,491,425,392,392,262,204,498,367,354
"246036.1",1066,583,804,807,835,257,257,431,814,470,535,552,544,471,775,846
"T724961.1",926,513,487,710,744,201,224,364,619,417,382,400,346,402,726,746
"T810183.1",589,359,461,472,395,228,246,347,475,260,325,446,423,369,473,529
"133476.1",603,381,435,449,410,224,272,338,487,274,326,434,369,365,487,540
"T895081.1",1086,656,651,835,850,288,317,432,743,445,426,449,548,499,669,677
"T895080.1",1074,656,658,838,855,288,303,431,742,433,419,460,554,501,674,684
"T692938.1",1388,684,701,919,880,234,265,439,859,425,463,491,565,475,809,825
"T026108.1",1084,629,695,770,835,377,293,467,718,491,585,528,541,475,749,766
"272320.1",1194,455,642,644,599,347,112,453,588,240,303,340,554,469,413,562
"A948223.1",263,265,212,218,318,239,183,269,224,230,144,158,152,276,217,281
"A948222.1",653,585,500,434,696,434,387,504,555,484,315,317,267,519,469,515
"G401366.1",578,354,481,430,371,206,296,312,522,278,343,433,373,347,455,531
"G401365.1",578,354,481,430,371,206,296,312,522,278,343,433,373,347,455,531
"537870.1",624,349,448,473,393,205,244,338,464,254,311,450,414,372,475,568
"772568.1",473,284,420,478,305,261,264,419,442,280,349,453,436,424,490,644
"202857.1",590,356,462,472,397,230,244,345,472,259,325,448,422,371,472,533
"401435.1",1041,539,664,860,813,252,255,423,748,447,452,532,502,505,808,854
"649336.1",1040,624,687,744,781,215,340,424,762,441,440,525,511,481,701,839
"940970.1",422,411,252,342,591,712,184,684,252,284,183,214,163,763,314,485
"658958.1",470,278,423,480,293,255,264,420,443,278,347,460,446,421,493,652
"357599.1",1134,474,694,648,610,370,198,465,678,287,317,272,528,512,344,482
"357598.1",1130,458,700,643,599,372,214,456,678,295,326,278,524,516,336,484
"357597.1",1141,477,700,639,614,372,201,464,679,294,312,267,523,508,338,482
"357596.1",1141,477,700,639,614,372,201,464,679,294,312,267,523,508,338,482
"357595.1",1130,472,701,646,606,368,201,464,683,293,317,269,530,506,342,482
"357594.1",1146,470,699,643,609,365,195,468,678,288,311,273,525,514,344,481
"357593.1",1139,477,693,644,607,373,202,463,680,292,317,264,527,503,340,489
"357592.1",1149,474,695,646,615,368,200,454,675,289,311,270,525,506,338,489
"357591.1",1125,459,697,645,596,365,213,462,678,294,330,275,527,518,336,485
"357590.1",1143,460,704,647,603,371,207,466,683,293,330,279,525,523,343,485
"357589.1",1137,459,703,648,597,372,208,465,686,295,334,279,527,516,348,488
"357588.1",1133,459,699,647,599,369,207,460,683,294,325,274,523,513,344,488
"357587.1",1134,452,698,653,600,367,203,460,679,296,331,273,524,515,346,489
